ID,tree_ID_cytb,tree_ID_ACR,cytb_clade,tree_ID,field number,Sample_or_control,date,collector/preparator,subspecies,species,State,county,specific locality,site name,lat,long,elevation (m),Sex,age class,total length (mm),tail (mm),hind foot (mm),ear (mm),weight (g)
KCB2017137b.HirdChipmunk2017C03,ruficaudus_simulans_603360,ruficaudus_simulans_603360,E,USNM 603360,KCB2017-137b,sample,42899,"Kayce C. Bell, Keegan P. Hottinger",ruficaudus simulans,ruficaudus ,Idaho,Clearwater,1 km NNE Bighorn Point; Mouth of Weitas Creek,Weitas Creek,46.63526,-115.43225,686,F,adult,238,107,30,19,64
KCB2017137.HirdChipmunk2017C03,NA,NA,NA,USNM 603360,KCB2017-137,sample,42899,"Kayce C. Bell, Keegan P. Hottinger",ruficaudus simulans,ruficaudus ,Idaho,Clearwater,1 km NNE Bighorn Point; Mouth of Weitas Creek,Weitas Creek,46.63526,-115.43225,686,F,adult,238,107,30,19,64
KCB2017138.HirdChipmunk2017H02,ruficaudus_simulans_603361,ruficaudus_simulans_603361,E,USNM 603361,KCB2017-138,sample,42899,"Kayce C. Bell, Keegan P. Hottinger",ruficaudus simulans,ruficaudus ,Idaho,Clearwater,1 km NNE Bighorn Point; Mouth of Weitas Creek,Weitas Creek,46.63579,-115.43267,722,F,adult,241,108,31,19,71
KCB2017152.HirdChipmunk2017E02,quadrivittatus_quadrivittatus_603375,NA,H,USNM 603375,KCB2017-152,sample,42927,Kayce C. Bell,quadrivittatus,quadrivittatus,Colorado,Jefferson,Redskin Creek Rd/Colorado Trail,Redskin Creek Rd/Colorado Trail,39.343831,-105.26637,2365,M,adult,232,101,33,21,63
KCB2017156.HirdChipmunk2017G02,minimus_operarius_603379,NA,A,USNM 603379,KCB2017-156,sample,42930,Kayce C. Bell,minimus operarius,minimus ,Colorado,Park,"Mosquito Range; 2 mi SE Weston Pass, along S Fork South Platte River",Mosquito Range,39.098219,-106.15349,3232,F,adult,220,94,32,19,56.5
KCB2017162.HirdChipmunk2017A05,NA,NA,NA,USNM 603385,KCB2017-162,sample,42931,Kayce C. Bell,minimus operarius,minimus ,Colorado,Park,"Mosquito Range; 2 mi SE Weston Pass, along S Fork South Platte River",Mosquito Range,39.098256,-106.15364,3248,F,juvenile,194,85,30,17,36
KCB2017170.HirdChipmunk2017D03,quadrivittatus_quadrivittatus_603393,quadrivittatus_quadrivittatus_603393,F,USNM 603393,KCB2017-170,sample,42936,Kayce C. Bell,quadrivittatus,quadrivittatus,Colorado,Conejos,"San Juan Mountains; Rough Canyon (FR250), along Alamosa River",San Juan Mountains,37.389926,-106.40985,2687,M,adult,234,106,32.5,21,60.5
KCB2017171b.HirdChipmunk2017B05,quadrivittatus_quadrivittatus_603394,quadrivittatus_quadrivittatus_603394,F,USNM 603394,KCB2017171b,sample,42936,Kayce C. Bell,quadrivittatus,quadrivittatus,Colorado,Conejos,"San Juan Mountains; Rough Canyon (FR250), along Alamosa River",San Juan Mountains,37.390978,-106.41196,2730,F,adult,238,104,34,20,68.5
KCB2017173.HirdChipmunk2017B02,quadrivittatus_quadrivittatus_603395,NA,F,USNM 603395,KCB2017-173,sample,42936,Kayce C. Bell,quadrivittatus,quadrivittatus,Colorado,Conejos,"San Juan Mountains; Rough Canyon (FR250), along Alamosa River",San Juan Mountains,37.390951,-106.41135,2729,F,adult,230,97,32,20,75
KCB2017177.HirdChipmunk2017B04,minimus_operarius_603400,NA,D,USNM 603400,KCB2017-177,sample,42937,Kayce C. Bell,minimus operarius,minimus ,Colorado,Conejos,"San Juan Mountains; Rough Canyon (FR250), along Alamosa River",San Juan Mountains,37.391086,-106.41128,2736,M,adult,213,98,32,18,46.5
KCB2017182.HirdChipmunk2017A06,minimus_operarius_603405,NA,D,USNM 603405,KCB2017-182,sample,42941,"Kayce C. Bell, Kelly A. Speer",minimus operarius,minimus ,New Mexico,Rio Arriba,"Jemez Mountains; Clear Creek, 2 km S San Gregorio Reservoir",Jemez Mountains,36.020286,-106.84334,2776,F,adult,234,103,31,18,55.5
KCB2017183.HirdChipmunk2017G01,minimus_operarius_603406,NA,D,USNM 603406,KCB2017-183,sample,42941,"Kayce C. Bell, Kelly A. Speer",minimus operarius,minimus ,New Mexico,Rio Arriba,"Jemez Mountains; Clear Creek, 2 km S San Gregorio Reservoir",Jemez Mountains,36.021293,-106.84718,2808,F,adult,229,104,31,18,58
KCB2017188.HirdChipmunk2017C05,minimus_operarius_603411,NA,D,USNM 603411,KCB2017-188,sample,42941,"Kayce C. Bell, Kelly A. Speer",minimus operarius,minimus ,New Mexico,Rio Arriba,"Jemez Mountains; Clear Creek, 2 km S San Gregorio Reservoir",Jemez Mountains,36.020075,-106.84402,2765,M,adult,212,98,30,18,44
